Epoch, Batch, Loss_D, Loss_G, D(x), D(G(z))
[1/1],[327/938],0.0026,7.7200,0.9995,0.0021 / 0.0005
[1/1],[328/938],0.0022,7.7948,0.9995,0.0017 / 0.0004
[1/1],[329/938],0.0022,7.8719,0.9991,0.0013 / 0.0004
[1/1],[330/938],0.0014,7.7736,0.9998,0.0012 / 0.0004
[1/1],[331/938],0.0040,7.7930,0.9971,0.0009 / 0.0005
[1/1],[332/938],0.0015,7.6119,0.9996,0.0012 / 0.0005
[1/1],[333/938],0.0024,7.3521,0.9995,0.0019 / 0.0007
[1/1],[334/938],0.0035,7.4343,0.9988,0.0023 / 0.0006
[1/1],[335/938],0.0029,7.5735,0.9994,0.0023 / 0.0005
[1/1],[336/938],0.0030,7.6998,0.9988,0.0018 / 0.0005
[1/1],[337/938],0.0017,7.8202,0.9995,0.0013 / 0.0004
[1/1],[338/938],0.0029,7.7158,0.9982,0.0011 / 0.0005
[1/1],[339/938],0.0021,7.5213,0.9993,0.0015 / 0.0006
[1/1],[340/938],0.0024,7.4636,0.9995,0.0019 / 0.0006
[1/1],[341/938],0.0023,7.5744,0.9995,0.0017 / 0.0005
[1/1],[342/938],0.0016,7.7814,0.9996,0.0012 / 0.0004
[1/1],[343/938],0.0022,7.7620,0.9988,0.0010 / 0.0005
[1/1],[344/938],0.0020,7.4807,0.9996,0.0016 / 0.0006
[1/1],[345/938],0.0024,7.4468,0.9995,0.0019 / 0.0006
[1/1],[346/938],0.0026,7.6133,0.9989,0.0015 / 0.0005
[1/1],[347/938],0.0018,7.8053,0.9992,0.0010 / 0.0004
[1/1],[348/938],0.0018,7.6582,0.9993,0.0011 / 0.0005
[1/1],[349/938],0.0029,7.4357,0.9986,0.0015 / 0.0006
[1/1],[350/938],0.0032,7.4082,0.9985,0.0016 / 0.0006
[1/1],[351/938],0.0045,7.3886,0.9975,0.0018 / 0.0007
[1/1],[352/938],0.0022,7.5071,0.9998,0.0020 / 0.0006
[1/1],[353/938],0.0020,7.7108,0.9997,0.0017 / 0.0005
[1/1],[354/938],0.0163,7.3937,0.9902,0.0013 / 0.0007
[1/1],[355/938],0.0024,7.3178,0.9998,0.0022 / 0.0007
[1/1],[356/938],0.0015,7.7255,0.9999,0.0014 / 0.0005
[1/1],[357/938],0.0011,7.9834,0.9998,0.0009 / 0.0004
[1/1],[358/938],0.0009,7.9766,0.9998,0.0007 / 0.0004
[1/1],[359/938],0.0015,7.6268,0.9996,0.0011 / 0.0005
[1/1],[360/938],0.0020,7.4407,0.9998,0.0018 / 0.0006
[1/1],[361/938],0.0030,7.5551,0.9995,0.0025 / 0.0006
[1/1],[362/938],0.0025,7.7636,0.9993,0.0018 / 0.0004
[1/1],[363/938],0.0016,7.8818,0.9997,0.0013 / 0.0004
[1/1],[364/938],0.0015,7.7600,0.9999,0.0014 / 0.0005
[1/1],[365/938],0.0022,7.5949,0.9997,0.0019 / 0.0005
[1/1],[366/938],0.0021,7.6802,0.9999,0.0020 / 0.0005
[1/1],[367/938],0.0032,7.7033,0.9985,0.0017 / 0.0005
[1/1],[368/938],0.0016,7.7819,0.9998,0.0014 / 0.0004
[1/1],[369/938],0.0014,7.8235,0.9999,0.0013 / 0.0004
[1/1],[370/938],0.0013,7.8309,0.9998,0.0011 / 0.0004
[1/1],[371/938],0.0018,7.5836,0.9998,0.0016 / 0.0005
[1/1],[372/938],0.0025,7.5718,0.9994,0.0019 / 0.0005
[1/1],[373/938],0.0047,7.5080,0.9973,0.0019 / 0.0006
