Epoch, Batch, Loss
[1/1],[484/938],1.4911
[1/1],[485/938],1.4922
[1/1],[486/938],1.5052
[1/1],[487/938],1.4678
[1/1],[488/938],1.5166
[1/1],[489/938],1.5023
[1/1],[490/938],1.4969
[1/1],[491/938],1.4895
[1/1],[492/938],1.4797
[1/1],[493/938],1.4875
[1/1],[494/938],1.4688
[1/1],[495/938],1.5219
[1/1],[496/938],1.4898
[1/1],[497/938],1.4783
[1/1],[498/938],1.4692
[1/1],[499/938],1.5051
[1/1],[500/938],1.4827
[1/1],[501/938],1.4679
[1/1],[502/938],1.5360
[1/1],[503/938],1.5145
[1/1],[504/938],1.4893
[1/1],[505/938],1.5225
[1/1],[506/938],1.4638
[1/1],[507/938],1.4865
[1/1],[508/938],1.4983
[1/1],[509/938],1.4920
[1/1],[510/938],1.4690
[1/1],[511/938],1.4704
[1/1],[512/938],1.4776
[1/1],[513/938],1.4636
[1/1],[514/938],1.5041
[1/1],[515/938],1.4947
[1/1],[516/938],1.4989
[1/1],[517/938],1.4782
[1/1],[518/938],1.4893
[1/1],[519/938],1.4984
[1/1],[520/938],1.4976
[1/1],[521/938],1.4803
[1/1],[522/938],1.4727
[1/1],[523/938],1.4899
[1/1],[524/938],1.5024
[1/1],[525/938],1.4833
[1/1],[526/938],1.4771
[1/1],[527/938],1.4843
[1/1],[528/938],1.4925
[1/1],[529/938],1.4911
[1/1],[530/938],1.4722
[1/1],[531/938],1.5217
[1/1],[532/938],1.5129
[1/1],[533/938],1.4778
[1/1],[534/938],1.4793
[1/1],[535/938],1.5044
[1/1],[536/938],1.5027
[1/1],[537/938],1.4653
[1/1],[538/938],1.4751
[1/1],[539/938],1.4884
[1/1],[540/938],1.4914
[1/1],[541/938],1.4976
[1/1],[542/938],1.4836
[1/1],[543/938],1.4775
[1/1],[544/938],1.4797
[1/1],[545/938],1.4744
[1/1],[546/938],1.5378
[1/1],[547/938],1.4640
[1/1],[548/938],1.4950
[1/1],[549/938],1.5018
[1/1],[550/938],1.4910
[1/1],[551/938],1.4762
[1/1],[552/938],1.5354
[1/1],[553/938],1.4659
[1/1],[554/938],1.5098
[1/1],[555/938],1.4908
[1/1],[556/938],1.4918
[1/1],[557/938],1.5044
[1/1],[558/938],1.4910
[1/1],[559/938],1.4941
[1/1],[560/938],1.4680
[1/1],[561/938],1.4680
[1/1],[562/938],1.5226
[1/1],[563/938],1.4850
[1/1],[564/938],1.4729
[1/1],[565/938],1.5068
[1/1],[566/938],1.4781
[1/1],[567/938],1.4931
[1/1],[568/938],1.5226
[1/1],[569/938],1.4685
[1/1],[570/938],1.4780
[1/1],[571/938],1.5358
[1/1],[572/938],1.4807
[1/1],[573/938],1.4843
[1/1],[574/938],1.4837
[1/1],[575/938],1.4780
[1/1],[576/938],1.4667
[1/1],[577/938],1.4881
[1/1],[578/938],1.5229
[1/1],[579/938],1.4639
[1/1],[580/938],1.4711
[1/1],[581/938],1.5244
[1/1],[582/938],1.4829
[1/1],[583/938],1.4697
[1/1],[584/938],1.4626
[1/1],[585/938],1.4926
[1/1],[586/938],1.4755
[1/1],[587/938],1.4727
[1/1],[588/938],1.5937
[1/1],[589/938],1.4730
[1/1],[590/938],1.4636
[1/1],[591/938],1.4826
[1/1],[592/938],1.4945
[1/1],[593/938],1.4915
[1/1],[594/938],1.4977
[1/1],[595/938],1.5115
[1/1],[596/938],1.4919
[1/1],[597/938],1.4840
[1/1],[598/938],1.4970
[1/1],[599/938],1.4869
[1/1],[600/938],1.5076
[1/1],[601/938],1.4625
[1/1],[602/938],1.4684
[1/1],[603/938],1.4961
[1/1],[604/938],1.4797
[1/1],[605/938],1.4724
[1/1],[606/938],1.4841
[1/1],[607/938],1.4803
[1/1],[608/938],1.4792
[1/1],[609/938],1.5076
[1/1],[610/938],1.4652
[1/1],[611/938],1.5143
[1/1],[612/938],1.5087
[1/1],[613/938],1.4847
[1/1],[614/938],1.4684
[1/1],[615/938],1.5158
[1/1],[616/938],1.4872
[1/1],[617/938],1.5020
[1/1],[618/938],1.4844
[1/1],[619/938],1.5048
