Epoch, Batch, Loss
[1/1],[403/938],1.4772
[1/1],[404/938],1.5524
[1/1],[405/938],1.5043
[1/1],[406/938],1.4753
[1/1],[407/938],1.4856
[1/1],[408/938],1.4647
[1/1],[409/938],1.4979
[1/1],[410/938],1.4934
[1/1],[411/938],1.5021
[1/1],[412/938],1.4639
[1/1],[413/938],1.4707
[1/1],[414/938],1.4786
[1/1],[415/938],1.4736
[1/1],[416/938],1.5131
[1/1],[417/938],1.4964
[1/1],[418/938],1.4662
[1/1],[419/938],1.4754
[1/1],[420/938],1.4804
[1/1],[421/938],1.4726
[1/1],[422/938],1.5300
[1/1],[423/938],1.4716
[1/1],[424/938],1.4691
[1/1],[425/938],1.4868
[1/1],[426/938],1.5000
[1/1],[427/938],1.4897
[1/1],[428/938],1.4848
[1/1],[429/938],1.4627
[1/1],[430/938],1.4831
[1/1],[431/938],1.4753
[1/1],[432/938],1.5049
[1/1],[433/938],1.4772
[1/1],[434/938],1.5011
[1/1],[435/938],1.4695
[1/1],[436/938],1.4705
[1/1],[437/938],1.4960
[1/1],[438/938],1.4760
[1/1],[439/938],1.4912
[1/1],[440/938],1.5076
[1/1],[441/938],1.4823
[1/1],[442/938],1.5044
[1/1],[443/938],1.4794
[1/1],[444/938],1.5202
[1/1],[445/938],1.5192
[1/1],[446/938],1.4772
[1/1],[447/938],1.4845
[1/1],[448/938],1.4872
[1/1],[449/938],1.5052
[1/1],[450/938],1.4749
[1/1],[451/938],1.4885
[1/1],[452/938],1.4982
[1/1],[453/938],1.4892
[1/1],[454/938],1.4954
[1/1],[455/938],1.5084
[1/1],[456/938],1.5208
[1/1],[457/938],1.5466
[1/1],[458/938],1.4972
[1/1],[459/938],1.4997
[1/1],[460/938],1.4716
[1/1],[461/938],1.4962
[1/1],[462/938],1.4877
[1/1],[463/938],1.4948
[1/1],[464/938],1.4786
[1/1],[465/938],1.4749
[1/1],[466/938],1.4902
[1/1],[467/938],1.4934
[1/1],[468/938],1.4802
[1/1],[469/938],1.4892
[1/1],[470/938],1.5015
[1/1],[471/938],1.4890
[1/1],[472/938],1.5308
[1/1],[473/938],1.4890
[1/1],[474/938],1.5144
[1/1],[475/938],1.4742
[1/1],[476/938],1.5002
[1/1],[477/938],1.4832
[1/1],[478/938],1.4697
[1/1],[479/938],1.5210
[1/1],[480/938],1.4725
[1/1],[481/938],1.4655
[1/1],[482/938],1.5004
[1/1],[483/938],1.4761
[1/1],[484/938],1.4731
[1/1],[485/938],1.4695
[1/1],[486/938],1.4902
[1/1],[487/938],1.4651
[1/1],[488/938],1.4659
[1/1],[489/938],1.4876
[1/1],[490/938],1.4932
[1/1],[491/938],1.4855
[1/1],[492/938],1.4890
[1/1],[493/938],1.4856
[1/1],[494/938],1.4985
[1/1],[495/938],1.4933
[1/1],[496/938],1.4823
[1/1],[497/938],1.5210
[1/1],[498/938],1.4795
[1/1],[499/938],1.4912
[1/1],[500/938],1.4955
[1/1],[501/938],1.5151
[1/1],[502/938],1.4992
[1/1],[503/938],1.4812
[1/1],[504/938],1.4639
[1/1],[505/938],1.4709
[1/1],[506/938],1.5089
[1/1],[507/938],1.4804
[1/1],[508/938],1.4861
[1/1],[509/938],1.4939
[1/1],[510/938],1.5090
[1/1],[511/938],1.5172
[1/1],[512/938],1.4941
[1/1],[513/938],1.4826
[1/1],[514/938],1.4727
[1/1],[515/938],1.4928
[1/1],[516/938],1.5172
[1/1],[517/938],1.4726
[1/1],[518/938],1.4676
[1/1],[519/938],1.4942
[1/1],[520/938],1.4778
[1/1],[521/938],1.4755
[1/1],[522/938],1.4768
[1/1],[523/938],1.4872
[1/1],[524/938],1.5525
[1/1],[525/938],1.4865
[1/1],[526/938],1.4781
[1/1],[527/938],1.4805
[1/1],[528/938],1.4934
[1/1],[529/938],1.4934
[1/1],[530/938],1.4644
[1/1],[531/938],1.5261
[1/1],[532/938],1.4921
[1/1],[533/938],1.5123
[1/1],[534/938],1.4724
[1/1],[535/938],1.4931
[1/1],[536/938],1.4727
[1/1],[537/938],1.4640
[1/1],[538/938],1.4912
[1/1],[539/938],1.4884
[1/1],[540/938],1.5037
[1/1],[541/938],1.4650
[1/1],[542/938],1.4731
[1/1],[543/938],1.4771
[1/1],[544/938],1.5395
[1/1],[545/938],1.4991
[1/1],[546/938],1.4711
[1/1],[547/938],1.4891
[1/1],[548/938],1.4854
[1/1],[549/938],1.4848
[1/1],[550/938],1.4886
[1/1],[551/938],1.4681
[1/1],[552/938],1.4807
[1/1],[553/938],1.4675
[1/1],[554/938],1.4809
[1/1],[555/938],1.4946
[1/1],[556/938],1.4809
[1/1],[557/938],1.4671
[1/1],[558/938],1.5267
[1/1],[559/938],1.4858
[1/1],[560/938],1.4677
[1/1],[561/938],1.4957
[1/1],[562/938],1.5101
[1/1],[563/938],1.4638
[1/1],[564/938],1.4955
[1/1],[565/938],1.4779
[1/1],[566/938],1.5150
[1/1],[567/938],1.4915
[1/1],[568/938],1.4987
[1/1],[569/938],1.4696
[1/1],[570/938],1.4646
[1/1],[571/938],1.4877
[1/1],[572/938],1.4934
[1/1],[573/938],1.4895
[1/1],[574/938],1.4698
[1/1],[575/938],1.4819
[1/1],[576/938],1.4943
[1/1],[577/938],1.4757
[1/1],[578/938],1.5196
[1/1],[579/938],1.4818
[1/1],[580/938],1.4872
[1/1],[581/938],1.5275
[1/1],[582/938],1.5130
[1/1],[583/938],1.4634
[1/1],[584/938],1.4684
[1/1],[585/938],1.4964
[1/1],[586/938],1.4780
[1/1],[587/938],1.4952
[1/1],[588/938],1.5111
[1/1],[589/938],1.4755
[1/1],[590/938],1.4624
[1/1],[591/938],1.4867
[1/1],[592/938],1.4952
[1/1],[593/938],1.4781
[1/1],[594/938],1.4712
[1/1],[595/938],1.5053
[1/1],[596/938],1.5011
[1/1],[597/938],1.5189
[1/1],[598/938],1.4617
[1/1],[599/938],1.5265
[1/1],[600/938],1.4721
[1/1],[601/938],1.4787
[1/1],[602/938],1.4629
[1/1],[603/938],1.5188
[1/1],[604/938],1.5199
[1/1],[605/938],1.4873
[1/1],[606/938],1.5149
[1/1],[607/938],1.4833
[1/1],[608/938],1.5462
[1/1],[609/938],1.4695
[1/1],[610/938],1.4977
[1/1],[611/938],1.4780
[1/1],[612/938],1.4877
[1/1],[613/938],1.4693
[1/1],[614/938],1.4885
[1/1],[615/938],1.4790
[1/1],[616/938],1.4794
[1/1],[617/938],1.4769
[1/1],[618/938],1.4954
[1/1],[619/938],1.4827
[1/1],[620/938],1.4917
[1/1],[621/938],1.4649
[1/1],[622/938],1.4694
